word	onset	duration
COME	0.2525	0.1100
ON	0.8925	0.1600
TALK	1.0525	0.1800
TO	1.2325	0.1900
MEPLEASE	1.4225	0.5700
I	1.9925	0.0300
CAN'T	2.0225	5.5200
EVEN	7.5425	0.7400
LOOK	8.2825	0.2700
AT	8.5525	0.7900
YOU	9.3425	0.1500
RIGHT	9.4925	0.3700
NOW	9.8625	0.1600
WHAT	10.3125	0.2400
NOTHING	11.7325	0.4500
NOTHING	12.3225	0.6300
RACHEL	12.9525	0.1500
SAID	13.1025	0.1200
EVERYTHING	13.2225	1.6300
WAS	14.8525	0.1300
OKAY	14.9825	0.2100
WHAT	15.1925	0.4700
ARE	16.0225	0.1300
THEY	16.1525	0.3600
TALKING	16.5125	0.3400
ABOUT	16.8525	0.3400
RACHEL	17.6925	0.3000
I	17.9925	0.2400
MADE	18.2325	0.2300
JUST	18.5525	0.2300
GET	18.7825	0.1700
AWAY	18.9525	0.3600
FROM	19.3125	0.3600
ME	19.7125	0.2100
I	20.0825	0.4700
MADE	20.5525	0.3500
A	20.9025	0.0700
MISTAKE	20.9725	0.6100
OKAY	21.6425	0.4200
A	22.0625	0.0900
MISTAKE	22.1525	0.7300
WHAT	23.3625	0.2100
WERE	23.5725	0.1000
YOU	23.6725	0.0800
TRYING	23.7525	0.6000
TO	24.3525	0.0700
PUT	24.4225	0.2500
IT	24.6725	0.1100
IN	24.7825	0.2400
HER	25.0225	0.3500
PURSE	25.3925	0.7300
WHERE	26.2925	1.0600
WHERE	27.3525	0.6100
DID	28.1925	0.0900
HE	28.3525	0.1000
PUT	28.5725	0.3600
IT	28.9325	0.3000
ROSS	29.2325	0.3400
YOU	29.6025	0.0700
HAD	29.7325	4.1100
SEX	33.8425	0.3000
WITH	34.3125	0.4900
ANOTHER	34.8025	0.7700
WOMAN	35.5725	0.5200
OH	36.7725	0.1700
MY	36.9425	0.1500
GOD	37.0925	0.4900
OH	37.7925	0.3100
I	38.3125	0.1600
KNEW	38.4725	0.1700
SOMETHING	38.6425	0.3400
HAD	38.9825	0.2600
TO	39.2425	0.0900
BE	39.3325	0.1500
WRONG	39.4825	0.3200
BECAUSE	39.8025	0.3900
MY	40.1925	0.1500
FINGERNAILS	40.3425	0.6100
DID	40.9525	0.1500
NOT	41.1025	0.2000
GROW	41.3025	0.1800
AT	41.4825	0.1100
ALL	41.5925	0.2900
YESTERDAY	41.8825	0.6000
YEAH	42.4825	2.0600
WELL	44.5425	0.6200
I	45.1625	0.0900
GUESS	45.2525	0.2700
THEY	45.5225	0.1300
HAD	45.6525	0.3200
A	45.9725	0.1300
FIGHT	46.1025	0.5000
AND	46.6025	0.0900
HE	46.6925	0.1700
GOT	46.8625	0.4000
DRUNK	47.2625	0.7400
YOU	48.0025	0.0600
GUYS	48.0625	0.3900
KNEW	48.4525	0.1200
ABOUT	48.5725	0.4400
THIS	49.0125	0.1300
AND	49.1425	0.1800
YOU	49.3225	0.0800
DIDN'T	49.4025	0.3400
TELL	49.7425	0.1700
US	49.9125	0.3800
HE	50.2925	0.4800
HAD	50.7725	0.1900
SEX	50.9625	0.3400
AND	51.3025	0.0900
WE	51.3925	0.1000
GET	51.4925	0.1400
HIT	51.6325	0.1900
ON	51.8225	0.1900
OUR	52.0125	0.2100
HEADS	52.4625	1.4000
I	53.8625	0.2900
WANT	54.2325	0.1400
YOU	54.3725	0.0700
TO	54.4425	0.0700
LEAVE	54.5125	0.4100
NO	54.9225	0.1400
NO	55.1425	0.1000
JUST	55.2425	0.1900
GET	55.4325	0.2200
OUT	55.6525	0.2200
NOW	55.8725	0.4300
I	56.3025	0.1400
WANT	56.4425	0.4000
TO	56.8425	0.1200
STAY	56.9625	0.3500
I	57.3125	0.0300
WANT	57.3425	0.1800
TO	57.5225	0.0700
TALK	57.5925	0.2500
ABOUT	57.8425	0.3000
THIS	58.1425	0.3600
OKAY	58.5025	0.4100
ALL	60.9725	0.2500
RIGHT	61.8025	0.3000
