word	onset	duration
OH	0.9525	0.0300
MY	0.9825	1.6500
GOD	2.6325	0.8700
I	3.8325	1.3300
KNOW	5.4125	0.1100
I	5.5225	0.2500
TELL	6.2125	1.4100
YOU	7.9825	0.0800
SOMETHING	8.0625	0.8500
WE	9.6025	0.2900
ARE	9.8925	0.0800
GOING	9.9725	0.4700
TO	10.8325	0.3100
DO	11.2925	0.1600
THAT	11.5725	3.4500
AGAIN	15.1825	5.9900
OH	21.2425	0.0900
OKAY	21.3325	0.7600
MORNING	22.0925	1.2900
OH	26.2925	0.7900
RIGHT	27.8725	1.8700
YEAH	29.8425	2.2900
OH	32.1325	0.5300
GOD	32.8825	0.7400
OH	34.6125	0.1200
I	34.7325	0.2800
CAN'T	35.0125	0.3100
BELIEVE	35.3225	0.3700
JOEY	35.6925	0.4300
TRIBBIANI	36.1225	0.8200
HEARD	36.9425	0.3900
ME	37.3325	0.1300
THROW	37.4625	0.4200
UP	37.8825	0.7600
YEAH	38.6425	1.1900
I	39.8325	0.2300
MEAN	40.1525	0.2900
HE	40.4425	0.0900
ACTUALLY	40.5325	0.4300
SAW	40.9625	0.3200
YOU	41.2825	0.1200
A	41.4025	0.0600
LITTLE	41.4625	0.2000
BIT	41.6625	0.2400
TOO	41.9025	0.3700
NO	42.2725	1.6100
OH	45.0625	0.2700
GOD	45.3325	0.3500
WE	45.7525	0.1700
HEY	45.9225	0.2200
WE	46.1425	0.4100
WE	46.7825	0.1500
DIDN'T	46.9325	0.3000
UM	47.2325	0.3000
NO	47.5925	0.5100
NO	48.1025	0.3500
NO	48.8025	0.2800
NOT	49.6825	0.2800
AFTER	49.9625	0.2800
SEEING	50.2425	0.4500
THAT	50.9725	2.1000
GOD	53.3025	0.4000
I'M	53.7625	0.0600
JUST	53.8225	0.2600
A	54.0825	0.0400
HORRIBLE	54.1925	0.3600
PERSON	54.6225	0.3100
WHY	56.1725	0.2900
BECAUSE	57.0625	0.4400
I'M	57.5025	0.3200
MARRIED	57.8225	0.4800
THAT'S	58.8925	0.2500
RIGHT	59.1425	0.2600
I'M	59.4025	0.2200
A	59.6225	0.0300
MARRIED	59.6525	0.5500
WOMAN	60.2025	0.2300
AND	60.4325	0.2900
I	60.9325	0.1900
CAME	61.1225	0.2200
TO	61.3425	0.1100
A	61.4525	0.0300
TV	61.4825	0.3600
STAR'S	61.8425	0.2900
APPARTMENT	62.1325	0.4800
TO	62.6125	0.0600
HAVE	62.6725	0.1100
AN	62.7825	0.0800
AFFAIR	62.8625	0.7100
UGH	63.7025	0.3600
THAT'S	65.3225	0.2000
RIDICULOUS	65.5225	1.1900
I'M	67.4725	0.1400
NOT	67.6125	0.2900
A	67.9025	0.0300
STAR	68.0725	1.0000
I'M	69.3425	1.1000
JUST	70.4625	0.2800
A	70.7425	0.2500
REGULAR	71.3425	0.5800
FAMOUS	71.9225	0.5500
ACTOR	72.4725	0.4400
YEAH	73.2225	1.7000
AND	74.9225	0.3000
I'M	75.2225	0.2000
A	75.4225	0.0300
HORRIBLE	75.4525	1.0200
HORRIBLE	76.9125	0.7100
PERSON.	77.6225	0.4400
RACHEL	78.2225	0.2600
WILL	78.4825	0.1300
YOU	78.6125	0.0900
STOP	78.7025	0.4900
SAYING	79.1925	0.4200
THAT	79.6125	0.3000
HEY	81.0825	0.1600
HEY	81.2425	0.2500
LOOK	81.6825	0.1800
REMEMBER	82.5725	0.5300
ON	83.4125	0.1500
THE	83.5625	0.0600
SHOW	83.6225	0.7100
WHEN	84.4625	0.1900
CAPRI	84.6525	0.7000
WAS	85.5025	0.1900
DYING	85.6925	0.5700
AND	86.7325	0.1200
SHE	86.8525	0.1500
GACE	87.0025	0.2200
ME	87.2225	0.2200
THE	87.4425	0.1700
RING	87.6125	0.2500
FROM	87.8625	0.1700
THE	88.0325	0.0900
CAVE	88.1225	0.4100
YEAH	88.5325	0.2800
WOW	89.5025	0.2500
UH	90.1225	1.2000
OKAY	91.3225	0.2400
WELL	91.6425	0.3400
UH	92.4425	0.3900
OH	95.3425	0.1000
MY	96.4425	0.2500
GOD	97.1225	0.4200
THEY	98.1525	0.1200
LET	98.2725	0.1700
YOU	98.4425	0.2200
KEEP	98.6625	0.3600
THAT	99.0825	0.1700
STUFF	99.2925	0.6000
SURE	100.0525	0.5500
AS	100.6025	0.0800
LONG	101.1825	0.1600
AS	101.3425	0.0800
THEY	101.4225	0.0600
DON'T	101.4825	0.1400
FIND	101.6225	0.3200
OUT	101.9425	0.1800
YOU	102.1225	0.0600
CAN	102.1825	0.1200
KEEP	102.3025	0.2100
WHATEVER	102.5125	0.2500
YOU	102.7625	0.1000
WANT	102.8625	0.6500
AND	103.5125	1.5600
I	105.0725	0.0600
WANT	105.1325	0.2600
YOU	105.3925	0.1500
TO	105.5425	0.0600
HAVE	105.6025	0.2800
IT	105.8825	0.0900
NO	106.2625	0.0800
NO	106.6125	0.2300
NO,	106.8425	0.0600
I	106.9025	0.1400
COULDN'T	107.0425	0.1500
YES	107.1925	0.3900
YES	107.5825	0.6000
AND	108.3825	0.1200
EVERY	108.5025	0.1700
TIME	108.6725	0.2100
YOU	108.8825	0.1100
LOOK	108.9925	0.2500
AT	109.2425	0.1800
IT	109.4225	0.1900
I	110.4025	0.0700
WANT	110.4725	0.1500
YOU	110.6225	0.0800
TO	110.7025	0.0900
REMEMBER	110.7925	0.3700
THAT	111.1625	0.1200
YOU	111.2825	0.4400
ARE	112.3825	0.1500
A	112.5325	0.0400
GOOD	112.5725	0.4700
PERSON	113.1925	0.4600
OKAY	114.2725	0.2800
NOW	114.5525	0.1000
YOU	114.6525	0.2200
HAD	114.8725	0.2200
THE	115.0925	0.0800
CHANCE	115.1725	0.4100
TO	115.5825	0.0900
CHEAT	115.6725	0.4200
AND	116.6125	0.3200
