word	onset	offset	duration
Terry,	7.37	7.994	0.6239999999999997
I	8.122	8.366	0.2439999999999997
know	8.388	8.526	0.1379999999999999
that	8.548	8.686	0.1379999999999999
I	8.708	8.846	0.1379999999999999
haven't	8.868	9.114	0.2460000000000004
worked	9.162	9.374	0.2119999999999997
here	9.412	9.614	0.2019999999999999
very	9.652	9.854	0.2019999999999999
long	9.892	10.142	0.25
but	10.196	10.414	0.2179999999999999
I	10.452	10.558	0.1059999999999998
was	10.564	10.782	0.2179999999999999
wondering,	10.836	11.274	0.4379999999999988
do	11.322	11.486	0.1640000000000014
you	11.508	11.646	0.1380000000000016
think	11.668	11.806	0.1379999999999999
it	11.828	11.918	0.0899999999999998
would	11.924	12.046	0.1219999999999998
be	12.068	12.206	0.1379999999999999
possible	12.228	12.558	0.33
if	12.644	12.846	0.2019999999999999
I	12.868	13.006	0.1379999999999999
got	13.028	13.214	0.1859999999999999
a	13.252	13.55	0.298
$100	13.62	14.314	0.6940000000000008
advance	14.362	14.714	0.3520000000000003
on	14.762	14.926	0.1639999999999997
my	14.948	15.134	0.1859999999999999
salary?	15.172	15.87	0.6979999999999986
An	16.29	16.654	0.3640000000000007
advance?	16.692	17.45	0.7579999999999991
It's	17.61	18.026	0.4160000000000003
so	18.058	18.206	0.1479999999999997
that	18.228	18.366	0.1379999999999981
I	18.388	18.478	0.0899999999999998
can	18.484	18.654	0.1699999999999981
spend	18.692	18.942	0.25
Thanksgiving	18.996	19.546	0.5500000000000007
with	19.578	19.726	0.1479999999999997
my	19.748	19.934	0.1859999999999999
family.	19.972	20.462	0.4899999999999984
See,	20.596	20.894	0.2979999999999982
every	20.932	21.134	0.2020000000000017
year	21.172	21.326	0.1539999999999999
we	21.348	21.486	0.1380000000000016
go	21.508	21.694	0.1859999999999999
skiing	21.732	22.106	0.3740000000000023
in	22.138	22.286	0.1479999999999997
Vale.	22.308	22.666	0.3580000000000005
And	22.698	23.038	0.3399999999999998
normally	23.124	23.514	0.3900000000000005
my	23.562	23.726	0.1639999999999979
father	23.748	23.994	0.2459999999999986
pays	24.042	24.346	0.3039999999999985
for	24.378	24.526	0.1479999999999997
my	24.548	24.686	0.1380000000000016
ticket	24.708	25.042	0.3340000000000032
it	25.066	25.206	0.1400000000000005
but	25.228	25.558	0.3299999999999983
I've	25.644	25.986	0.3420000000000023
sort	26.018	26.166	0.1479999999999997
of	26.188	26.326	0.1380000000000016
started	26.348	26.582	0.2340000000000017
this	26.636	26.806	0.1700000000000017
whole	26.828	27.062	0.2340000000000017
independence	27.116	27.842	0.7259999999999991
thing.	27.906	28.374	0.4679999999999999
Which	28.492	28.774	0.282
is	28.812	29.158	0.3460000000000001
actually	29.244	29.542	0.2980000000000018
why	29.596	29.814	0.2179999999999999
I	29.852	30.006	0.1539999999999999
took	30.028	30.214	0.1859999999999999
this	30.252	30.646	0.3940000000000019
job.	30.748	31.4	0.6519999999999975
Rachel,	33.29	33.922	0.6319999999999979
rachel,	33.986	34.626	0.6400000000000006
sweetheart	34.738	35.83	1.0919999999999987
you're	36.89	37.346	0.4559999999999959
a	37.378	37.478	0.1000000000000014
terrible,	37.484	37.874	0.3900000000000005
terrible	37.922	38.354	0.4320000000000021
waitress.	38.402	39.11	0.7079999999999984
Really,	40.25	40.479	0.2289999999999992
really	40.479	41.02	0.5410000000000039
awful.	41.39	42.25	0.8599999999999994
Okay,	44.27	45.02	0.75
I	45.47	45.786	0.3160000000000025
hear	45.808	45.994	0.1859999999999999
what	46.032	46.138	0.1060000000000016
you're	46.144	46.326	0.1820000000000021
saying.	46.358	46.698	0.3400000000000034
I'm	46.784	47.046	0.2620000000000004
with	47.078	47.274	0.1959999999999979
you.	47.312	47.9	0.588000000000001
But	49.39	49.706	0.3160000000000025
I'm	49.728	49.986	0.2579999999999955
trying	50.038	50.398	0.3600000000000065
really	50.484	50.782	0.2979999999999947
hard.	50.836	51.15	0.314
And	51.22	51.55	0.3299999999999983
I	51.62	51.806	0.1859999999999999
think	51.828	52.206	0.3780000000000001
I'm	52.308	52.586	0.2779999999999987
doing	52.618	52.814	0.1959999999999979
better.	52.852	53.534	0.6820000000000022
I	53.732	54.142	0.4100000000000037
really	54.196	54.51	0.314
do.	54.58	55.2	0.6200000000000045
Does	56.21	56.574	0.3639999999999972
anybody	56.612	56.91	0.2979999999999947
need	56.98	57.262	0.2820000000000036
coffee?	57.316	57.722	0.4059999999999988
Yeah,	57.786	58.014	0.2280000000000015
over	58.052	58.254	0.2019999999999981
here.	58.292	58.88	0.588000000000001
Excuse	72.27	72.886	0.6159999999999997
me,	72.918	73.066	0.1479999999999961
sir?	73.088	73.466	0.3780000000000001
Hi.	73.568	73.978	0.4099999999999966
You	74.064	74.314	0.25
come	74.352	74.506	0.1539999999999963
in	74.528	74.666	0.137999999999991
here	74.688	74.874	0.1859999999999928
all	74.912	75.066	0.1539999999999963
the	75.088	75.226	0.1380000000000052
time.	75.248	75.482	0.2339999999999946
I	75.536	75.706	0.1700000000000017
was	75.728	75.866	0.1380000000000052
just	75.888	76.026	0.137999999999991
wondering,	76.048	76.422	0.3739999999999952
do	76.486	76.618	0.1319999999999908
you	76.624	76.698	0.073999999999998
think	76.704	76.886	0.1820000000000021
there's	76.928	77.098	0.1700000000000017
a	77.114	77.198	0.0839999999999889
possibility	77.204	77.642	0.4380000000000024
that	77.706	77.886	0.1799999999999926
you	77.908	77.998	0.0900000000000034
could	78.004	78.126	0.1219999999999998
give	78.148	78.334	0.186000000000007
me	78.372	78.526	0.1539999999999963
in	78.548	78.638	0.0900000000000034
advance	78.644	78.954	0.309999999999988
on	79.002	79.118	0.1159999999999996
my	79.124	79.294	0.1700000000000017
tips?	79.332	79.95	0.6180000000000092
Okay,	82.61	83.118	0.5079999999999956
that's	83.204	83.594	0.3900000000000005
fine.	83.642	84.24	0.597999999999999
I'm	84.61	84.878	0.2680000000000007
sorry	84.884	85.054	0.1700000000000017
about	85.092	85.246	0.1539999999999963
that	85.268	85.454	0.1859999999999928
spill	85.492	85.882	0.3900000000000005
before.	85.946	86.56	0.6140000000000043
Only	88.61	89.022	0.4120000000000061
98	89.076	89.614	0.5380000000000109
50	89.652	89.914	0.2620000000000004
to	89.972	90.146	0.1740000000000066
go.	90.168	90.74	0.5719999999999885
Rose,	93.03	93.582	0.5519999999999925
did	93.646	93.826	0.1799999999999926
you	93.848	93.938	0.0900000000000034
know	93.944	94.018	0.073999999999998
that	94.024	94.146	0.1219999999999998
mom	94.168	94.354	0.1859999999999928
and	94.392	94.498	0.1060000000000087
dad	94.504	94.734	0.2299999999999897
are	94.782	94.946	0.1640000000000014
going	94.968	95.106	0.137999999999991
to	95.128	95.218	0.0900000000000034
Puerto	95.224	95.486	0.2620000000000004
Rico	95.518	95.806	0.2879999999999967
for	95.838	95.938	0.1000000000000085
Thanksgiving?	95.944	96.77	0.8259999999999934
No,	97.91	98.274	0.3640000000000043
they're	98.312	98.526	0.2139999999999986
not.	98.558	98.898	0.3399999999999892
Yes,	98.984	99.186	0.2020000000000124
they	99.208	99.346	0.1380000000000052
are.	99.368	99.554	0.186000000000007
The	99.592	99.698	0.1059999999999945
blindman's	99.704	100.158	0.4540000000000077
invited	100.174	100.494	0.3199999999999932
them.	100.542	100.946	0.4039999999999963
You're	101.048	101.326	0.2779999999999916
wrong.	101.358	101.94	0.5819999999999936
I	103.53	103.846	0.3160000000000025
am	103.868	104.006	0.1380000000000052
not	104.028	104.214	0.1859999999999928
wrong.	104.252	104.742	0.4900000000000091
You're	104.876	105.266	0.3900000000000005
wrong.	105.298	105.88	0.5819999999999936
No,	107.45	107.91	0.4599999999999937
I	107.98	108.166	0.1859999999999928
just	108.188	108.374	0.1859999999999928
talked	108.412	108.614	0.2019999999999981
to	108.652	108.806	0.1539999999999963
them.	108.828	109.4	0.5720000000000027
I'm	110.73	111.138	0.4080000000000012
calling	111.154	111.43	0.2760000000000104
mom.	111.5	112.12	0.6200000000000045
Hey.	117.13	117.88	0.75
And	120.99	121.402	0.4120000000000061
this	121.456	121.674	0.2180000000000035
from	121.712	121.866	0.1539999999999963
the	121.888	121.978	0.0899999999999892
Cry	121.984	122.166	0.1820000000000021
for	122.198	122.346	0.1480000000000103
Health	122.368	122.554	0.186000000000007
Department.	122.592	123.29	0.6980000000000075
Are	123.63	123.946	0.3160000000000025
you	123.968	124.154	0.1859999999999928
wearing	124.192	124.406	0.2140000000000128
makeup?	124.438	125.21	0.7719999999999914
Yes,	127.41	127.774	0.3640000000000043
I	127.812	128.014	0.2020000000000124
am.	128.052	128.35	0.2980000000000018
As	128.42	128.606	0.186000000000007
of	128.628	128.814	0.186000000000007
today,	128.852	129.054	0.2019999999999981
I	129.092	129.246	0.1539999999999963
am	129.268	129.406	0.1380000000000052
officially	129.428	129.802	0.3739999999999952
Joey	129.866	130.266	0.3999999999999772
Tribiani.	130.298	130.954	0.6560000000000059
Actor.	131.002	131.77	0.7680000000000007
Model.	131.93	132.446	0.5159999999999911
Thank	132.548	132.766	0.2179999999999893
you.	132.788	133.358	0.5699999999999932
That's	133.524	133.898	0.3739999999999952
so	133.914	134.046	0.132000000000005
funny,	134.068	134.266	0.197999999999979
because	134.298	134.446	0.1479999999999961
I	134.468	134.558	0.0900000000000034
was	134.564	134.638	0.0740000000000122
thinking	134.644	134.814	0.1699999999999875
you	134.852	134.958	0.1059999999999945
look	134.964	135.086	0.1220000000000141
more	135.108	135.198	0.0900000000000034
like	135.204	135.326	0.1219999999999856
Joey	135.348	135.578	0.2299999999999897
Tribiani.	135.594	136.618	1.024000000000001
Man,	136.794	137.422	0.6279999999999859
woman.	137.556	138.43	0.8739999999999952
What	140.45	140.766	0.3160000000000025
were	140.788	140.926	0.1379999999999768
you	140.948	141.086	0.1380000000000052
modeling	141.108	141.466	0.3580000000000041
for?	141.498	141.934	0.436000000000007
You	142.052	142.238	0.186000000000007
know	142.244	142.366	0.1220000000000141
those	142.388	142.574	0.186000000000007
posters	142.612	142.986	0.3739999999999952
for	143.018	143.178	0.1599999999999966
the	143.204	143.298	0.093999999999994
city	143.304	143.522	0.2179999999999893
free	143.576	143.794	0.2180000000000177
clinic?	143.832	144.302	0.4699999999999988
Oh,	144.366	144.546	0.1799999999999784
wow.	144.568	144.754	0.1859999999999786
So	144.792	144.946	0.1539999999999963
you're	144.968	145.118	0.1500000000000056
going	145.134	145.206	0.0720000000000027
to	145.208	145.239	0.0310000000000059
be	145.239	145.346	0.1069999999999993
one	145.368	145.458	0.0900000000000034
of	145.464	145.538	0.0740000000000122
those	145.544	145.666	0.1219999999999856
healthy,	145.688	146.046	0.3580000000000041
healthy,	146.078	146.414	0.3359999999999843
healthy	146.462	146.766	0.304000000000002
guys.	146.798	147.474	0.6759999999999877
You	147.672	147.986	0.3139999999999929
know,	148.008	148.146	0.1379999999999768
the	148.168	148.306	0.1380000000000052
asthma	148.328	148.718	0.3899999999999863
guy's	148.734	149.006	0.2719999999999913
really	149.038	149.234	0.1959999999999979
cute.	149.272	149.89	0.617999999999995
You	150.95	151.266	0.3160000000000025
know	151.288	151.426	0.1379999999999768
which	151.448	151.586	0.1380000000000052
one	151.608	151.746	0.1380000000000052
you're	151.768	151.918	0.1500000000000056
going	151.934	152.018	0.0840000000000031
to	152.024	152.098	0.0740000000000122
be?	152.104	152.334	0.2299999999999897
No,	152.392	152.95	0.5579999999999927
but	153.1	153.366	0.2660000000000195
I	153.388	153.478	0.0900000000000034
hear	153.484	153.654	0.1699999999999875
Lyme	153.692	153.954	0.2620000000000004
disease	154.002	154.306	0.304000000000002
is	154.338	154.486	0.1479999999999961
open.	154.508	154.694	0.1859999999999786
So	154.732	155.32	0.5879999999999939
good	156.49	156.854	0.3640000000000043
luck,	156.892	157.106	0.2139999999999986
man.	157.138	157.334	0.1959999999999979
I	157.372	157.478	0.1059999999999945
hope	157.484	157.606	0.1219999999999856
you	157.628	157.766	0.1380000000000052
get	157.788	157.926	0.1379999999999768
it.	157.948	158.52	0.5720000000000027
Well,	163.77	164.134	0.3639999999999759
you	164.172	164.326	0.1539999999999963
were	164.348	164.534	0.1859999999999786
right.	164.572	164.966	0.3940000000000054
How	165.068	165.286	0.2179999999999893
can	165.308	165.446	0.1380000000000052
they	165.468	165.654	0.186000000000007
do	165.692	165.846	0.1539999999999963
this	165.868	166.006	0.1380000000000052
to	166.028	166.214	0.186000000000007
us?	166.252	166.502	0.25
It's	166.556	166.866	0.3100000000000023
