word	onset	offset	duration
The	2.65	2.766	0.1160000000000001
Waltham	2.788	3.354	0.5660000000000003
residence.	3.402	4.122	0.7199999999999998
Oh,	4.266	4.574	0.30799999999999983
yes.	4.612	4.814	0.20199999999999996
Is	4.852	5.054	0.20199999999999996
this	5.092	5.438	0.3460000000000001
Emily's	5.524	6.058	0.5339999999999998
parents'house?	6.074	6.826	0.7519999999999998
This	6.938	7.166	0.22800000000000065
is	7.188	7.326	0.1379999999999999
the	7.348	7.486	0.1379999999999999
housekeeper	7.508	8.282	0.774
speaking.	8.346	8.814	0.46799999999999997
And	8.932	9.214	0.28200000000000003
by	9.252	9.406	0.15399999999999991
the	9.428	9.518	0.08999999999999986
way,	9.524	9.694	0.1700000000000017
young	9.732	9.934	0.20199999999999996
lady,	9.972	10.266	0.2940000000000005
that	10.298	10.494	0.19599999999999973
is	10.532	10.686	0.15399999999999991
not	10.708	10.894	0.18599999999999994
how	10.932	11.086	0.15399999999999991
one	11.108	11.294	0.18599999999999994
addresses	11.332	11.866	0.5339999999999989
a	11.898	12.046	0.1479999999999997
person	12.068	12.398	0.33000000000000007
on	12.484	12.686	0.20199999999999996
the	12.708	12.894	0.18599999999999994
telephone.	12.932	13.87	0.9379999999999988
First	14.61	15.07	0.46000000000000085
one	15.14	15.374	0.23399999999999999
identifies	15.412	16.042	0.6300000000000008
oneself	16.106	16.858	0.7519999999999989
and	16.954	17.214	0.259999999999998
then	17.252	17.55	0.2980000000000018
asks	17.62	18.074	0.4540000000000006
for	18.122	18.286	0.16400000000000148
the	18.308	18.446	0.13800000000000168
person	18.468	18.75	0.28200000000000003
with	18.82	19.054	0.2339999999999982
whom	19.092	19.306	0.2140000000000022
one	19.338	19.534	0.19599999999999795
wishes	19.572	19.866	0.2940000000000005
to	19.898	20.094	0.1960000000000015
speak.	20.132	20.72	0.5879999999999974
What	21.89	22.206	0.31599999999999895
are	22.228	22.366	0.13799999999999812
you	22.388	22.574	0.18599999999999994
saying?	22.612	23.2	0.588000000000001
No.	25.05	25.606	0.5560000000000009
Let	25.708	25.926	0.21799999999999997
us	25.948	26.086	0.13799999999999812
try	26.108	26.294	0.18599999999999994
that	26.332	26.486	0.15399999999999991
again,	26.508	26.79	0.28200000000000003
shall	26.86	27.51	0.6500000000000021
no.	28.17	28.726	0.5559999999999974
Oh,	28.828	29.48	0.652000000000001
my	30.97	31.622	0.652000000000001
God.	31.756	32.44	0.6839999999999975
The	37.95	38.266	0.3159999999999954
Waltham	38.288	38.806	0.5180000000000007
residence.	38.838	39.574	0.7359999999999971
Hello,	39.702	40.378	0.6760000000000019
this	40.544	40.826	0.2820000000000036
is	40.848	41.034	0.18599999999999994
Phoebe	41.072	41.414	0.34199999999999875
Buffet.	41.462	42.214	0.7519999999999953
I	42.342	42.586	0.24399999999999977
was	42.608	42.794	0.18599999999999994
wondering,	42.832	43.382	0.5499999999999972
please,	43.446	44.058	0.6120000000000019
if	44.224	44.506	0.2820000000000036
it's	44.528	44.678	0.14999999999999858
not	44.694	44.874	0.17999999999999972
too	44.912	45.018	0.10600000000000165
much	45.024	45.194	0.1700000000000017
trouble,	45.232	45.622	0.39000000000000057
please.	45.686	46.3	0.6139999999999972
Emily	48.19	48.694	0.5040000000000049
Waltham,	48.742	49.302	0.5600000000000023
please.	49.366	49.98	0.6139999999999972
Miss	50.67	51.082	0.41199999999999903
Waltham	51.136	51.846	0.7099999999999937
is	51.958	52.234	0.27600000000000335
at	52.272	52.426	0.15400000000000347
the	52.448	52.598	0.14999999999999858
rehearsal	52.624	53.146	0.5219999999999985
dinner,	53.178	53.69	0.5120000000000005
and	53.77	54.014	0.24399999999999977
it	54.052	54.158	0.10600000000000165
is	54.164	54.334	0.1700000000000017
not	54.372	54.622	0.25
polite	54.676	55.146	0.46999999999999886
to	55.178	55.326	0.14800000000000324
make	55.348	55.534	0.18599999999999994
fun	55.572	55.774	0.20199999999999818
of	55.812	56.4	0.588000000000001
no,	57.41	57.822	0.41200000000000614
no,	57.876	58.526	0.6500000000000057
I'll	58.708	59.018	0.3100000000000023
be	59.034	59.166	0.1319999999999979
nice,	59.188	59.374	0.18599999999999994
I	59.412	59.566	0.15400000000000347
swear.	59.588	59.914	0.3260000000000005
Could	59.962	60.126	0.16399999999999437
you	60.148	60.286	0.13799999999999812
just	60.308	60.446	0.13799999999999812
give	60.468	60.558	0.0899999999999963
me	60.564	60.686	0.12199999999999989
the	60.708	60.846	0.13799999999999812
number	60.868	61.054	0.18599999999999994
for	61.092	61.294	0.20199999999999818
where	61.332	61.486	0.15399999999999636
they	61.508	61.646	0.13799999999999812
are?	61.668	62.046	0.3780000000000001
I'm	62.148	62.426	0.2779999999999987
afraid	62.458	62.794	0.3359999999999985
I'm	62.842	63.066	0.22400000000000375
not	63.098	63.342	0.24399999999999977
at	63.396	63.614	0.21799999999999642
liberty	63.652	63.994	0.34199999999999875
to	64.042	64.254	0.2120000000000033
divulge	64.292	64.746	0.4539999999999935
that	64.778	64.974	0.19599999999999795
information.	65.012	65.598	0.5859999999999985
Okay,	65.764	66.094	0.3299999999999983
look,	66.132	66.43	0.2980000000000018
somebody	66.5	66.83	0.3299999999999983
is	66.9	67.134	0.23399999999999466
on	67.172	67.326	0.15399999999999636
their	67.348	67.486	0.13800000000000523
way	67.508	67.694	0.18600000000000705
to	67.732	67.934	0.20199999999999818
ruin	67.972	68.266	0.29400000000001114
