word	onset	offset	duration
You.	0.33	0.88	0.55
Hey.	3.09	3.838	0.7480000000000002
Wow,	4.004	4.718	0.7140000000000004
you	4.884	5.214	0.33000000000000007
look	5.252	5.454	0.20199999999999996
nice.	5.492	5.79	0.29800000000000004
What's	5.86	6.138	0.2779999999999996
the	6.154	6.286	0.13199999999999967
occasion?	6.308	6.762	0.45399999999999974
Monica	6.826	7.178	0.3520000000000003
and	7.194	7.278	0.08399999999999963
I	7.284	7.358	0.07399999999999984
are	7.364	7.486	0.12199999999999989
celebrating	7.508	7.866	0.35799999999999965
our	7.898	8.046	0.1479999999999997
ten	8.068	8.206	0.1379999999999999
month	8.228	8.414	0.18599999999999994
anniversary.	8.452	9.002	0.5500000000000007
Got	9.066	9.246	0.17999999999999972
reservations	9.268	9.722	0.45399999999999885
at	9.786	9.966	0.17999999999999972
Jean	9.988	10.266	0.27800000000000047
George.	10.298	10.858	0.5600000000000005
Wow.	10.954	11.694	0.7400000000000002
How'd	11.892	12.298	0.4060000000000006
you	12.314	12.446	0.13199999999999967
get	12.468	12.558	0.08999999999999986
in	12.564	12.686	0.12199999999999989
there?	12.708	13.134	0.42600000000000016
Made	13.252	13.486	0.23399999999999999
a	13.508	13.598	0.09000000000000163
few	13.604	13.774	0.16999999999999993
calls,	13.812	14.106	0.2940000000000005
pulled	14.138	14.426	0.28800000000000026
some	14.458	14.606	0.1479999999999997
strings	14.628	14.922	0.2940000000000005
and	14.986	15.166	0.17999999999999972
they	15.188	15.326	0.1379999999999999
agreed	15.348	15.578	0.22999999999999865
to	15.594	15.678	0.0840000000000014
seat	15.684	15.866	0.18200000000000038
us	15.898	16.046	0.1479999999999997
at	16.068	16.206	0.13799999999999812
1130	16.228	16.702	0.4740000000000002
if	16.756	16.878	0.12199999999999989
we	16.884	17.006	0.12199999999999989
both	17.028	17.166	0.13800000000000168
had	17.188	17.278	0.08999999999999986
the	17.284	17.406	0.12199999999999989
chicken	17.428	17.658	0.23000000000000043
and	17.674	17.758	0.08399999999999963
didn't	17.764	17.978	0.2140000000000022
get	17.994	18.078	0.08399999999999963
dessert.	18.084	18.554	0.46999999999999886
Nice.	18.602	19.2	0.597999999999999
Hi,	23.09	23.55	0.46000000000000085
Chandler.	23.62	24.33	0.7099999999999973
Caitlin.	24.41	24.898	0.48799999999999955
Somebody	24.954	25.174	0.21999999999999886
got	25.212	25.318	0.10600000000000165
a	25.324	25.398	0.07399999999999807
haircut.	25.404	25.986	0.5820000000000007
I	26.098	26.374	0.2759999999999998
hate	26.412	26.658	0.24600000000000222
it.	26.674	26.854	0.17999999999999972
I	26.892	27.046	0.15399999999999991
look	27.068	27.206	0.13799999999999812
like	27.228	27.366	0.13799999999999812
an	27.388	27.574	0.18599999999999994
eight	27.612	27.766	0.15399999999999991
year	27.788	27.926	0.13799999999999812
old	27.948	28.134	0.18599999999999994
boy.	28.172	28.662	0.48999999999999844
Yeah,	28.796	29.046	0.25
well,	29.068	29.206	0.13799999999999812
if	29.228	29.366	0.13799999999999812
that	29.388	29.478	0.08999999999999986
was	29.484	29.558	0.07399999999999807
true,	29.564	29.734	0.1700000000000017
gym	29.772	29.986	0.2140000000000022
class	30.018	30.214	0.19599999999999795
would	30.252	30.406	0.15399999999999991
have	30.428	30.506	0.0779999999999994
been	30.508	30.59	0.08200000000000074
a	30.6	30.678	0.0779999999999994
lot	30.684	30.806	0.12199999999999989
more	30.828	31.014	0.18599999999999994
interesting.	31.052	31.64	0.588000000000001
It's	34.97	35.83	0.8599999999999994
$27	36.41	37.442	1.0320000000000036
even.	37.516	37.754	0.23799999999999955
Oh,	37.792	38.042	0.25
okay.	38.096	38.7	0.6040000000000063
Hey,	39.07	39.386	0.3160000000000025
where's	39.408	39.686	0.2779999999999987
the	39.718	39.818	0.09999999999999432
chicken?	39.824	40.182	0.3580000000000041
Oh,	40.246	40.426	0.17999999999999972
he's	40.448	40.646	0.1980000000000004
in	40.678	40.778	0.10000000000000142
the	40.784	40.858	0.07399999999999807
back.	40.864	41.034	0.1700000000000017
The	41.072	41.226	0.15399999999999636
duck	41.248	41.446	0.1980000000000004
pissed	41.478	41.718	0.240000000000002
him	41.734	41.866	0.1319999999999979
off.	41.888	42.46	0.5720000000000027
Said	43.31	43.626	0.3159999999999954
that	43.648	43.786	0.13799999999999812
eggs	43.808	44.038	0.22999999999999687
came	44.054	44.282	0.22799999999999443
first.	44.336	44.94	0.6039999999999992
Thanks.	45.87	46.33	0.46000000000000085
I'll	46.4	46.598	0.1980000000000004
see	46.614	46.698	0.08400000000000318
you	46.704	46.826	0.12199999999999989
later.	46.848	47.082	0.23400000000000176
Okay,	47.136	47.45	0.31400000000000006
bye.	47.52	48.17	0.6499999999999986
What	51.81	52.222	0.41199999999999903
the	52.276	52.494	0.21799999999999642
hell	52.532	52.734	0.2020000000000053
was	52.772	53.022	0.25
that?	53.076	53.68	0.6039999999999992
What?	54.37	54.974	0.6039999999999992
The	55.092	55.374	0.2820000000000036
flirting.	55.412	56.026	0.6140000000000043
Aren't	56.138	56.378	0.240000000000002
you	56.394	56.574	0.17999999999999972
supposed	56.612	56.766	0.15399999999999636
to	56.788	56.878	0.09000000000000341
be	56.884	56.958	0.07399999999999807
going	56.964	57.086	0.12199999999999989
out	57.108	57.246	0.13800000000000523
with,	57.268	57.502	0.23400000000000176
I	57.556	57.678	0.12199999999999989
don't	57.684	57.818	0.13400000000000034
know,	57.834	58.062	0.22799999999999443
let's	58.116	58.298	0.18200000000000216
say	58.314	58.446	0.1319999999999979
my	58.468	58.654	0.18599999999999994
sister?	58.692	59.31	0.6180000000000021
That	60.45	60.766	0.3159999999999954
was	60.788	60.926	0.13800000000000523
not	60.948	61.086	0.13799999999999812
flirting.	61.108	61.754	0.6460000000000008
It	61.882	62.126	0.24399999999999977
was	62.148	62.442	0.29399999999999693
totally	62.516	63.022	0.5060000000000002
flirting.	63.086	63.854	0.7680000000000007
Somebody	63.982	64.418	0.43600000000000705
got	64.504	64.706	0.20199999999999818
a	64.728	64.818	0.09000000000000341
haircut.	64.824	65.73	0.9060000000000059
Okay,	68.31	68.722	0.41199999999999193
first	68.776	68.946	0.1700000000000017
of	68.968	69.058	0.09000000000000341
all,	69.064	69.186	0.1220000000000141
the	69.208	69.346	0.13800000000000523
impression?	69.368	69.918	0.5500000000000114
Uncanny.	70.014	71.01	0.9960000000000093
And	72.07	72.434	0.3640000000000043
second,	72.472	72.674	0.2020000000000124
that	72.712	72.866	0.15399999999999636
was	72.888	72.978	0.0899999999999892
not	72.984	73.106	0.12199999999999989
flirting.	73.128	73.406	0.2780000000000058
That	73.438	73.538	0.09999999999999432
was	73.544	73.666	0.12199999999999989
just	73.688	73.826	0.13799999999999102
casual	73.848	74.174	0.3260000000000076
conversation	74.222	74.734	0.5120000000000005
between	74.782	75.054	0.27200000000000557
two	75.112	75.334	0.2220000000000084
people.	75.372	75.622	0.25
That	75.676	75.846	0.1700000000000017
is	75.868	76.054	0.18600000000000705
all.	76.092	76.726	0.6340000000000003
Yeah,	76.908	77.398	0.4899999999999949
right.	77.484	78.022	0.5380000000000109
You	78.156	78.406	0.25
want	78.428	78.518	0.09000000000000341
to	78.524	78.598	0.07399999999999807
see	78.604	78.726	0.12199999999999989
flirting?	78.748	79.026	0.2779999999999916
I'll	79.058	79.158	0.09999999999999432
show	79.164	79.238	0.07399999999999807
you	79.244	79.366	0.12199999999999989
flirting.	79.388	80.15	0.7620000000000005
I'm	81.53	81.906	0.3760000000000048
good.	81.938	82.52	0.5819999999999936
No	90.11	90.522	0.41200000000000614
one	90.576	90.842	0.26600000000000534
told	90.896	91.258	0.36199999999999477
you	91.344	91.546	0.2020000000000124
that	91.568	91.85	0.2819999999999965
was	91.92	92.25	0.3299999999999983
gonna	92.32	92.698	0.3780000000000001
be	92.784	93.082	0.2979999999999876
this	93.136	93.402	0.26600000000000534
way.	93.456	94.06	0.6039999999999992
The	94.91	95.274	0.3640000000000043
job	95.312	95.754	0.4420000000000073
joke.	95.872	96.65	0.7780000000000058
Love	97.15	97.61	0.45999999999999375
I	97.68	97.866	0.18599999999999284
see	97.888	98.17	0.2819999999999965
away.	98.24	98.86	0.6200000000000045
It's	99.97	100.346	0.3760000000000048
like	100.378	100.622	0.24399999999999977
you're	100.676	101.034	0.3580000000000041
always	101.082	101.438	0.35600000000000875
stuck	101.524	101.914	0.39000000000000057
in	101.962	102.27	0.3079999999999927
second	102.34	102.766	0.42600000000000193
year.	102.868	103.52	0.652000000000001
When	104.37	104.734	0.3639999999999901
it	104.772	104.974	0.20199999999999818
happens	105.012	105.358	0.34600000000000364
in	105.444	105.694	0.25
your	105.732	105.982	0.25
day,	106.036	106.494	0.4579999999999984
we	106.612	106.99	0.3780000000000001
come	107.06	107.342	0.2819999999999965
up.	107.396	108.0	0.6039999999999992
I'll	110.21	110.714	0.5040000000000049
be	110.762	111.118	0.35599999999999454
there	111.204	111.598	0.39400000000000546
for	111.684	112.126	0.4420000000000073
you.	112.228	112.88	0.652000000000001
I'll	115.25	115.754	0.5040000000000049
be	115.802	116.158	0.35599999999999454
there	116.244	116.59	0.34600000000000364
for	116.66	117.278	0.6180000000000092
you	117.444	118.158	0.7139999999999986
like	118.324	118.654	0.3299999999999983
I	118.692	118.846	0.15400000000001057
live	118.868	119.198	0.3299999999999983
there	119.284	119.582	0.2979999999999876
before.	119.636	120.24	0.6039999999999992
I	132.09	132.406	0.3160000000000025
am	132.428	132.662	0.23400000000000887
so	132.716	132.934	0.2179999999999893
proud	132.972	133.186	0.21399999999999864
of	133.218	133.366	0.14800000000002456
Joey.	133.388	133.938	0.549999999999983
I	134.034	134.246	0.2120000000000175
can't	134.268	134.418	0.15000000000000568
believe	134.434	134.614	0.18000000000000682
he's	134.652	134.818	0.16600000000002524
going	134.834	134.906	0.07200000000000273
to	134.908	134.939	0.03100000000000591
be	134.939	135.046	0.10699999999999932
on	135.068	135.158	0.08999999999997499
Law	135.164	135.286	0.1220000000000141
and	135.308	135.446	0.13800000000000523
Order.	135.468	135.702	0.23400000000000887
I	135.756	135.974	0.2179999999999893
know,	136.012	136.31	0.2980000000000018
but	136.38	136.662	0.2820000000000107
don't	136.716	136.898	0.18199999999998795
you	136.914	136.998	0.08400000000000318
think	137.004	137.126	0.1220000000000141
that	137.148	137.286	0.13800000000000523
it	137.308	137.398	0.09000000000000341
should	137.404	137.526	0.1220000000000141
be	137.548	137.638	0.09000000000000341
called	137.644	137.814	0.1699999999999875
Order	137.852	138.102	0.25
in	138.156	138.326	0.1699999999999875
Law?	138.348	138.92	0.5719999999999743
Well,	139.63	139.994	0.3640000000000043
no,	140.032	140.234	0.20199999999999818
because	140.272	140.474	0.20199999999999818
first	140.512	140.714	0.20199999999999818
they	140.752	140.906	0.15399999999999636
arrest	140.928	141.206	0.2779999999999916
the	141.238	141.386	0.14799999999999613
guy,	141.408	141.594	0.18600000000000705
and	141.632	141.786	0.15399999999999636
then	141.808	141.946	0.13800000000000523
they	141.968	142.106	0.13800000000000523
try	142.128	142.362	0.23400000000000887
him.	142.416	142.634	0.2179999999999893
Yeah,	142.672	142.874	0.20199999999999818
don't	142.912	143.126	0.21399999999999864
