word	onset	offset	duration
Do	0.17	0.334	0.164
you	0.372	0.574	0.20199999999999996
want	0.612	0.814	0.20199999999999996
me	0.852	1.054	0.20200000000000007
to?	1.092	1.68	0.5879999999999999
Yeah,	3.57	4.03	0.4600000000000004
sure.	4.1	4.67	0.5700000000000003
So	4.82	5.134	0.31400000000000006
do	5.172	5.422	0.25
I.	5.476	6.08	0.6040000000000001
Okay,	11.41	11.822	0.41199999999999903
Rach,	11.876	12.666	0.7900000000000009
before	12.858	13.262	0.4039999999999999
anything	13.316	13.726	0.41000000000000014
happens	13.828	14.48	0.652000000000001
I	15.01	15.326	0.3160000000000007
just	15.348	15.534	0.18599999999999994
want	15.572	15.678	0.10600000000000165
to	15.684	15.806	0.12199999999999989
lay	15.828	16.014	0.18599999999999994
down	16.052	16.302	0.25
a	16.356	16.526	0.16999999999999815
couple	16.548	16.734	0.1860000000000035
of	16.772	17.022	0.25
ground	17.076	17.434	0.35800000000000054
rules.	17.482	18.09	0.6080000000000005
This	18.17	18.414	0.24399999999999977
is	18.452	18.606	0.15399999999999991
just	18.628	18.862	0.2339999999999982
about	18.916	19.182	0.26599999999999824
tonight.	19.236	19.95	0.7139999999999986
I	20.93	21.198	0.2680000000000007
don't	21.204	21.338	0.13400000000000034
want	21.354	21.486	0.13200000000000145
to	21.508	21.598	0.08999999999999986
go	21.604	21.726	0.12199999999999989
through	21.748	21.934	0.18599999999999994
with	21.972	22.126	0.15399999999999991
this	22.148	22.334	0.18599999999999994
if	22.372	22.526	0.15399999999999991
it's	22.548	22.698	0.15000000000000213
going	22.714	22.798	0.08399999999999963
to	22.804	22.926	0.12199999999999989
raise	22.948	23.242	0.2940000000000005
the	23.306	23.534	0.22799999999999798
question	23.572	23.87	0.2980000000000018
of	23.94	24.222	0.28200000000000003
us.	24.276	24.88	0.6039999999999992
Okay?	26.33	26.886	0.5560000000000009
I	26.988	27.254	0.2660000000000018
just	27.292	27.446	0.15399999999999991
want	27.468	27.654	0.18599999999999994
this	27.692	27.942	0.25
to	27.996	28.214	0.21799999999999997
be	28.252	28.84	0.588000000000001
about	32.01	32.662	0.652000000000001
what	32.796	33.094	0.2980000000000018
it	33.132	33.286	0.15400000000000347
is.	33.308	33.88	0.5720000000000027
And	37.95	38.7	0.75
what	39.87	40.186	0.3160000000000025
is	40.208	40.394	0.18599999999999994
that,	40.432	40.73	0.2979999999999947
Ross?	40.8	41.382	0.5820000000000007
The	41.526	41.786	0.259999999999998
physical	41.808	42.262	0.4540000000000006
act	42.326	42.554	0.22800000000000153
of	42.592	42.794	0.20199999999999818
love.	42.832	43.42	0.588000000000001
What	45.47	45.882	0.41199999999999903
are	45.936	46.106	0.1700000000000017
you?	46.128	46.7	0.5720000000000027
So	47.23	47.594	0.3640000000000043
so	47.632	47.882	0.25
you	47.936	48.106	0.1700000000000017
weren't	48.128	48.374	0.24600000000000222
trying	48.422	48.682	0.2600000000000051
to	48.736	49.002	0.26600000000000534
entice	49.056	49.574	0.5180000000000007
me	49.622	49.99	0.3680000000000021
just	50.08	50.286	0.20600000000000307
now	50.308	50.542	0.23400000000000176
with	50.596	50.91	0.31400000000000006
your	50.98	51.262	0.2820000000000036
nakedness?	51.316	52.19	0.8739999999999952
Oh,	55.09	55.598	0.5079999999999956
God.	55.684	56.126	0.44200000000000017
You	56.228	56.542	0.31400000000000006
saw	56.596	56.862	0.26600000000000534
me?	56.916	57.52	0.6040000000000063
You	61.09	61.454	0.3639999999999972
weren't	61.492	61.834	0.34200000000000585
trying	61.882	62.094	0.2120000000000033
to	62.132	62.382	0.25
entice	62.436	62.874	0.4380000000000024
me	62.922	63.134	0.2120000000000033
with	63.172	63.374	0.2020000000000053
your	63.412	63.566	0.15400000000000347
nakedness	63.588	64.51	0.9220000000000041
when	66.53	66.894	0.3640000000000043
you	66.932	67.134	0.20199999999999818
thought	67.172	67.422	0.25
you	67.476	67.694	0.21800000000000352
actually	67.732	67.982	0.25
thought	68.036	68.302	0.26600000000000534
I	68.356	68.574	0.21800000000000352
wanted	68.612	68.814	0.20199999999999818
to	68.852	69.006	0.15399999999999636
have	69.028	69.31	0.2819999999999965
sex	69.38	69.754	0.37400000000000944
with	69.802	70.014	0.21199999999998909
you?	70.052	70.686	0.6340000000000003
Oh,	70.868	71.214	0.34600000000000364
my	71.252	71.84	0.5880000000000081
that	74.53	75.28	0.75
oh,	86.73	87.142	0.41199999999999193
wow.	87.196	87.558	0.362000000000009
I'm	87.644	87.906	0.26200000000000045
sorry.	87.938	88.134	0.19599999999999795
But,	88.172	88.374	0.20199999999999818
Ross,	88.412	88.766	0.3539999999999992
you	88.818	89.034	0.21600000000000819
kicked	89.072	89.366	0.29399999999999693
off	89.398	89.594	0.19599999999999795
your	89.632	89.834	0.20199999999999818
shoes.	89.872	90.57	0.6979999999999933
Can	91.87	92.186	0.3160000000000025
we	92.208	92.346	0.13800000000000523
just	92.368	92.842	0.47400000000000375
forget	92.976	93.51	0.534000000000006
this	93.59	93.834	0.24399999999999977
ever	93.872	94.122	0.25
happened?	94.176	94.538	0.36199999999999477
Yes,	94.624	94.874	0.25
of	94.912	95.066	0.15399999999999636
course.	95.088	95.322	0.23400000000000887
Absolutely.	95.376	95.738	0.36199999999999477
You're	95.824	96.086	0.26200000000000045
right.	96.118	96.314	0.19599999999999795
I'm	96.352	96.506	0.15399999999999636
sorry.	96.528	96.906	0.3780000000000001
Thank	97.008	97.274	0.26600000000000534
you.	97.312	97.9	0.5880000000000081
All	98.43	98.698	0.26799999999998647
right,	98.704	98.874	0.1700000000000017
I	98.912	99.018	0.10599999999999454
guess	99.024	99.146	0.12199999999999989
I'm	99.168	99.462	0.29399999999999693
going	99.526	99.658	0.132000000000005
to	99.664	99.786	0.12199999999999989
go	99.808	99.994	0.18599999999999284
pat.	100.032	100.33	0.2980000000000018
Okay.	100.4	100.73	0.3299999999999983
Oh,	100.8	100.986	0.18600000000000705
wait,	101.008	101.194	0.18600000000000705
one	101.232	101.338	0.10599999999999454
more	101.344	101.514	0.1700000000000017
thing.	101.552	102.102	0.5499999999999972
Do	102.256	102.622	0.36599999999999966
we	102.676	102.846	0.1700000000000017
still	102.868	103.102	0.23400000000000887
need	103.156	103.374	0.2179999999999893
to	103.412	103.758	0.3459999999999894
settle	103.844	104.186	0.34200000000001296
the	104.218	104.366	0.14799999999999613
question	104.388	104.622	0.23399999999999466
of	104.676	104.894	0.21800000000000352
us?	104.932	105.52	0.5879999999999939
Hey,	129.69	130.006	0.3160000000000025
you	130.028	130.166	0.13800000000000523
guys,	130.188	130.47	0.2820000000000107
wait.	130.54	131.254	0.7139999999999986
You	131.452	131.814	0.36199999999999477
guys,	131.852	132.486	0.6339999999999861
this	132.668	133.062	0.39400000000000546
place	133.116	133.334	0.2179999999999893
is	133.372	133.574	0.20199999999999818
so	133.612	133.766	0.15399999999999636
much	133.788	133.926	0.1379999999999768
better	133.948	134.086	0.13800000000000523
than	134.108	134.294	0.18600000000000705
London.	134.332	134.674	0.34200000000001296
Okay?	134.722	135.126	0.40399999999999636
This	135.228	135.494	0.26599999999999113
lady,	135.532	135.826	0.2939999999999827
dressed	135.858	136.098	0.2400000000000091
like	136.114	136.246	0.132000000000005
Cleopatra	136.268	136.994	0.7259999999999991
gave	137.042	137.158	0.11599999999998545
me	137.164	137.286	0.1220000000000141
this	137.308	137.446	0.13800000000000523
coupon.	137.468	138.066	0.5980000000000132
$0.99	138.178	138.99	0.8120000000000118
steak	139.01	139.286	0.27600000000001046
and	139.318	139.418	0.09999999999999432
lobster	139.424	139.766	0.34199999999998454
dinner?	139.798	140.41	0.6119999999999948
Phoebe,	140.83	141.302	0.47199999999998
you	141.366	141.546	0.1799999999999784
don't	141.568	141.658	0.08999999999997499
eat	141.664	141.834	0.17000000000001592
animals.	141.872	142.39	0.5179999999999723
For	142.47	142.714	0.24399999999999977
$0.99,	142.752	143.366	0.6140000000000043
I'd	143.398	143.558	0.1599999999999966
eat	143.574	143.754	0.1799999999999784
you.	143.792	144.38	0.5879999999999939
Okay,	145.87	146.426	0.5559999999999832
I	146.528	146.794	0.26600000000001955
can	146.832	147.082	0.25
totally	147.136	147.542	0.4060000000000059
settle	147.606	147.926	0.3199999999999932
