word	onset	offset	duration
Kind	0.33	0.398	0.068
of	0.404	0.67	0.266
knocked	0.74	1.066	0.326
me	1.098	1.246	0.1479999999999999
out	1.268	1.406	0.1379999999999999
a	1.428	1.518	0.09
little.	1.524	2.08	0.556
I	3.97	4.334	0.3639999999999994
love	4.372	4.622	0.25
this	4.676	4.942	0.266
place.	4.996	5.646	0.6499999999999995
Tell	5.828	6.126	0.298
you	6.148	6.286	0.1379999999999999
the	6.308	6.398	0.0899999999999998
truth,	6.404	6.586	0.1820000000000003
I	6.618	6.718	0.0999999999999996
wish	6.724	6.906	0.1819999999999995
I	6.938	7.038	0.1000000000000005
didn't	7.044	7.226	0.1820000000000003
have	7.258	7.358	0.0999999999999996
to.	7.364	7.92	0.556
Uh,	8.93	9.582	0.652000000000001
are	9.716	10.014	0.298
you	10.052	10.446	0.3940000000000001
saying	10.548	10.814	0.266
that	10.852	10.958	0.1059999999999998
you're	10.964	11.178	0.2140000000000004
not	11.194	11.374	0.1799999999999997
entirely	11.412	12.154	0.7419999999999991
happy	12.282	12.67	0.3879999999999999
about	12.74	12.974	0.2339999999999999
this?	13.012	13.6	0.5879999999999992
Well,	14.37	14.782	0.4120000000000008
I	14.836	15.006	0.1699999999999999
mean,	15.028	15.214	0.1859999999999999
if,	15.252	15.454	0.2019999999999999
uh	15.492	15.754	0.2619999999999987
if	15.802	16.014	0.2119999999999997
Emily	16.052	16.394	0.3419999999999987
gave	16.442	16.558	0.1159999999999996
me	16.564	16.686	0.1219999999999998
a	16.708	16.798	0.0899999999999998
choice.	16.804	17.13	0.3260000000000005
You	17.21	17.406	0.1959999999999979
do	17.428	17.614	0.1859999999999999
have	17.652	17.806	0.1539999999999999
a	17.828	17.966	0.1380000000000016
choice,	17.988	18.59	0.6020000000000003
Ross.	19.49	20.042	0.5520000000000032
Why	20.106	20.334	0.2279999999999979
are	20.372	20.526	0.1539999999999999
you	20.548	20.686	0.1380000000000016
listening	20.708	21.066	0.3580000000000005
to	21.098	21.294	0.1960000000000015
her?	21.332	21.726	0.3939999999999983
Are	21.828	22.046	0.2179999999999999
you	22.068	22.206	0.1379999999999981
crazy?	22.228	22.8	0.5719999999999992
What?	23.57	24.318	0.7480000000000011
It's	24.484	24.778	0.2939999999999969
not	24.794	25.046	0.2519999999999989
right	25.108	25.334	0.2259999999999991
what	25.372	25.526	0.1539999999999999
Emily	25.548	25.922	0.3740000000000023
wants	25.986	26.166	0.1799999999999997
you	26.188	26.326	0.1380000000000016
to	26.348	26.486	0.1380000000000016
do.	26.508	26.79	0.282
She	26.86	27.094	0.2340000000000017
is	27.132	27.334	0.2019999999999981
totally	27.372	27.81	0.4379999999999988
ow.	27.89	28.706	0.815999999999999
Stop	28.898	29.302	0.4039999999999999
pinching	29.356	29.826	0.4699999999999988
me.	29.858	30.44	0.5820000000000007
Now,	31.13	31.494	0.3640000000000007
you	31.532	31.638	0.1060000000000016
guys	31.644	31.814	0.1700000000000017
said	31.852	32.006	0.1539999999999999
I	32.028	32.166	0.1379999999999981
only	32.188	32.326	0.1379999999999981
had	32.348	32.486	0.1379999999999981
to	32.508	32.646	0.1379999999999981
keep	32.668	32.806	0.1379999999999981
my	32.828	32.966	0.1379999999999981
mouth	32.988	33.266	0.2779999999999987
shut	33.298	33.682	0.3840000000000003
as	33.746	33.926	0.1799999999999997
long	33.948	34.086	0.1379999999999981
as	34.108	34.246	0.1380000000000052
Ross	34.268	34.514	0.2460000000000022
was	34.562	34.774	0.2120000000000033
happy,	34.812	35.11	0.2980000000000018
right?	35.18	35.8	0.6199999999999974
Well,	36.25	36.614	0.3639999999999972
he	36.652	36.806	0.1539999999999963
just	36.828	36.966	0.1379999999999981
told	36.988	37.174	0.1859999999999999
me	37.212	37.426	0.2139999999999986
that	37.468	37.626	0.1579999999999941
he's	37.648	37.878	0.2299999999999968
not	37.894	38.218	0.3240000000000052
entirely	38.304	38.822	0.5180000000000007
happy.	38.886	39.5	0.6139999999999972
What's	41.87	42.294	0.4239999999999995
going	42.342	42.554	0.2120000000000033
on?	42.592	43.18	0.588000000000001
We	43.63	43.946	0.3159999999999954
all	43.968	44.154	0.1859999999999999
hate	44.192	44.406	0.2139999999999986
Emily.	44.438	45.13	0.6920000000000002
No,	47.31	48.06	0.75
Ross,	48.75	49.254	0.5039999999999978
we	49.302	49.418	0.1159999999999996
do	49.424	49.546	0.1219999999999998
not	49.568	49.754	0.1859999999999999
hate	49.792	50.066	0.2740000000000009
Emily.	50.118	50.83	0.7119999999999962
We	52.05	52.366	0.3160000000000025
just	52.388	52.574	0.1859999999999999
think	52.612	52.766	0.1539999999999963
that	52.788	52.926	0.1380000000000052
you're	52.948	53.226	0.2779999999999987
having	53.258	53.406	0.1479999999999961
to	53.428	53.566	0.1380000000000052
sacrifice	53.588	54.106	0.5180000000000007
a	54.138	54.286	0.1480000000000032
whole	54.308	54.494	0.1859999999999999
lot	54.532	54.878	0.3460000000000036
to	54.964	55.166	0.2019999999999981
make	55.188	55.374	0.1859999999999999
her	55.412	55.566	0.1540000000000034
happy.	55.588	56.062	0.4739999999999966
Yeah,	56.196	56.88	0.6840000000000046
we	58.05	58.414	0.3640000000000043
just	58.452	58.606	0.1540000000000034
think	58.628	58.814	0.1859999999999999
that	58.852	59.006	0.1540000000000034
maybe	59.028	59.214	0.1859999999999999
she's	59.252	59.466	0.2139999999999986
being	59.498	59.694	0.196000000000005
a	59.732	59.886	0.1540000000000034
little	59.908	60.48	0.5719999999999956
yes.	61.89	62.458	0.5679999999999978
Yes?	62.564	62.834	0.2700000000000031
Unreasonable.	62.872	63.89	1.018000000000001
Unreasonable?	64.87	66.13	1.259999999999991
How	67.19	67.506	0.3160000000000025
about	67.528	67.666	0.137999999999991
we	67.688	67.826	0.137999999999991
have	67.848	67.986	0.1380000000000052
this	68.008	68.194	0.186000000000007
conversation	68.232	68.622	0.3900000000000005
when	68.686	68.914	0.2279999999999944
one	68.952	69.106	0.1539999999999963
of	69.128	69.266	0.1380000000000052
you	69.288	69.426	0.1380000000000052
